,name,degree,betweenness,closeness
0,@MortifiedPengu4,0.00016891891891891893,0.0,0.11657947275273521
1,@amuse,0.0035472972972972975,0.006509595882108041,0.15033049907413776
2,@srart25,0.00016891891891891893,0.0,0.0803929505934722
3,@sewellchan,0.0015202702702702704,0.001401122359054442,0.09511967356444101
4,@ITalkSportsAR,0.00016891891891891893,0.0,0.11516547005094764
5,@AndyKHLiu,0.002702702702702703,0.0022458025689144918,0.1479874687518022
6,@xandria_austin,0.00016891891891891893,0.0,0.1475903891261728
7,,0.12702702702702703,0.2278316356492091,0.20619918894463232
8,@austin_medz,0.002195945945945946,9.845755537595376e-06,0.0020133308984660336
9,@Sha_Shox,0.0005067567567567568,1.1415368739241015e-06,0.001460651828298887
10,@JamesGunn,0.0006756756756756757,3.139226403291279e-06,0.0015519425675675678
11,@AnnaSMoroyoky,0.00016891891891891893,0.0,0.00016891891891891893
12,@universo_flash,0.00016891891891891893,0.0,0.00016891891891891893
13,@SuckingOnCock,0.00016891891891891893,0.0,0.08077970961035477
14,@TheNBACentral,0.004560810810810811,0.006966400003652918,0.09566158474816645
15,@SasaVo3,0.00033783783783783786,0.0,0.11739453382953163
16,@tears_angel,0.009121621621621622,0.020008164391884083,0.15088506674949637
17,@cnnphilippines,0.00016891891891891893,0.0,0.1475903891261728
18,@RamaCastill,0.00016891891891891893,0.0,0.00016891891891891893
19,@agustin_catcba,0.00016891891891891893,0.0,0.00016891891891891893
20,@carsonzo3,0.00016891891891891893,0.0,0.001141891891891892
21,@tigers,0.002195945945945946,4.451993808303996e-06,0.002195945945945946
22,@BlueLightsShine,0.00016891891891891893,0.0,0.0859274362031715
23,@hmcadena,0.0015202702702702704,0.0012262103715474214,0.10296649404051612
24,@SusanDadamo,0.0005067567567567568,2.4625002267148883e-05,0.12388606132926963
25,@EvilMopacATX,0.006756756756756757,0.00895149208623578,0.15333624201438772
26,@meredit71840781,0.00016891891891891893,0.0,0.00016891891891891893
27,@JesusChrysler1,0.00016891891891891893,0.0,0.00016891891891891893
28,@ryandouc3tte,0.00016891891891891893,0.0,0.1475903891261728
29,@Cathi_Bea,0.00016891891891891893,0.0,0.11837899262899264
30,@ShaunRainey,0.00016891891891891893,0.0,0.1475903891261728
31,@cre8iveAlbertan,0.00033783783783783786,5.7076843696205074e-08,0.00033783783783783786
32,@WSOnlineNews,0.00016891891891891893,0.0,0.00022522522522522523
33,@Matt_HorwoodWS,0.00016891891891891893,0.0,0.00022522522522522523
34,@austin_wader,0.0013513513513513514,0.0012261818331255735,0.0808370205075597
35,@JimMWeber,0.00016891891891891893,0.0,0.06994768365164113
36,@alexisbromero,0.00033783783783783786,5.7076843696205074e-08,0.00033783783783783786
37,@PhilippineStar,0.00016891891891891893,0.0,0.00022522522522522523
38,@SAMAMA615,0.0005067567567567568,2.8538421848102537e-08,0.11634988516963353
39,@WadeInTheWater6,0.00033783783783783786,0.0,0.11634139929076477
40,@Austin_Vols,0.01266891891891892,0.014527683410729533,0.1499207636913229
41,@CPIO_WestMinCom,0.00016891891891891893,0.0,0.1475903891261728
42,@yzang6,0.00033783783783783786,1.902561456540169e-08,0.00045045045045045046
43,@CourtsideFilms,0.0005067567567567568,8.56152655443076e-08,0.0005405405405405405
44,@austinherro1,0.0005067567567567568,8.56152655443076e-08,0.0005405405405405405
45,@apopodcast,0.00016891891891891893,0.0,0.0007207207207207207
46,@DrIbram,0.0013513513513513514,1.598151623493742e-06,0.0013513513513513514
47,@stephh_klayy,0.0005067567567567568,1.103485644793298e-06,0.11522370165238917
48,@stephspoole,0.0005067567567567568,0.00014537472089423174,0.14764503199515694
